url,repo,file,java_file,func,hunk,test,note
1,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
2,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
3,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
4,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
5,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
6,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
7,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
8,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
9,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
10,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
11,,,1,1,1,,[None],,,micronaut-security,https://github.com/micronaut-projects/micronaut-security/commit/9728b925221a0d87798ccf250657a3c214b7e980
12,,,2,2,6,,"['SandboxServiceImpl', None, None, None, None]",,,shenyu,https://github.com/apache/shenyu/commit/1fd33d5aa032e8e71e7e40b229d74e9f88745923
13,,,9(5),1,7,,"[None, None, None, None, None, None]",,,eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core/commit/38dd2a878f45cdb3d8d52090f1d6d1b532fd4c4d
14,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
15,,,57(11),5,31,,"['load', None, None, None, None, None, 'parseInputStream', 'gotoMarker', None, None, None, None, None, None, None, 'transformDocument', None, None, None, None, None, None]",,,eclipse.platform.ui,https://github.com/eclipse-platform/eclipse.platform.ui/commit/f243cf0a28785b89b7c50bf4e1cce48a917d89bd
16,,,1,1,8,,[None],,,keycloak,https://github.com/keycloak/keycloak/commit/5c6c55945a384bfd82e51283096204dcb6f63d91
17,,,3(2),1,3,,"[None, None]",,,keycloak,https://github.com/keycloak/keycloak/commit/30d0e9d22dae51392e5a3748a1c68c116667359a
18,,,7,3,11,,"[None, None, None, None, None, 'DirExportProvider', 'DirImportProvider', None, None, None]",,,keycloak,https://github.com/keycloak/keycloak/commit/853a6d73276849877819f2dc23133557f6e1e601
19,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
20,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/24b65038cfe36191268fda355aca0e43d3ecbcbe
21,,,39(23),24,204,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/b0e8e607dc1ace17c823276d3384eeda775bbd76
22,,,39(23),24,202,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, 'getFieldBuilder', 'setField', None, None, 'finish', None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/42e47e5a3fa7219b136f6a5de7c74a89a79245c6
23,,,2(1),4,14,,"[None, 'getFieldBuilder', 'setField', None, None, None, None, 'finish']",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/a3888f53317a8018e7a439bac4abeb8f3425d5e9
24,,,39(23),21,197,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'getField', None, None, 'newMutableInstance', 'hashCode', 'makeImmutable', 'toBuilder', 'clearMemoizedSerializedSize', None, None, None, 'copyOnWrite', 'clear', 'mergeFrom', 'copyOnWriteInternal', 'buildPartial', None, None, None, 'getUnknownFields', None, None, 'clear', 'setUnknownFieldsInternal', None, 'getUnknownFields', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mergeFrom', 'mergeMessage', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'mutableMessageFieldForMerge', None, 'makeImmutable', None, None, 'isMutable', 'newInstance', None, 'newInstance', None, None, None, None, None, None, None, None, None, 'storeField', 'ensureCapacity', None, 'merge', None]",,,protobuf,https://github.com/protocolbuffers/protobuf/commit/ae6d69dba64334d77dfb633a146c479982620c1c
